,Security Description,Record Date,Average Interest Rate Amount
0,Treasury Bills,1/31/24,5.411
1,Treasury Notes,1/31/24,2.34
2,Treasury Bonds,1/31/24,3.106
17,Treasury Bills,12/31/23,5.437
18,Treasury Notes,12/31/23,2.272
19,Treasury Bonds,12/31/23,3.092
34,Treasury Bills,11/30/23,5.451
35,Treasury Notes,11/30/23,2.244
36,Treasury Bonds,11/30/23,3.086
51,Treasury Bills,10/31/23,5.437
52,Treasury Notes,10/31/23,2.19
53,Treasury Bonds,10/31/23,3.07
68,Treasury Bills,9/30/23,5.38
69,Treasury Notes,9/30/23,2.106
70,Treasury Bonds,9/30/23,3.051
85,Treasury Bills,8/31/23,5.319
86,Treasury Notes,8/31/23,2.077
87,Treasury Bonds,8/31/23,3.045
102,Treasury Bills,7/31/23,5.219
103,Treasury Notes,7/31/23,2.018
104,Treasury Bonds,7/31/23,3.049
119,Treasury Bills,6/30/23,5.116
120,Treasury Notes,6/30/23,1.972
121,Treasury Bonds,6/30/23,3.042
136,Treasury Bills,5/31/23,4.991
137,Treasury Notes,5/31/23,1.928
138,Treasury Bonds,5/31/23,3.036
153,Treasury Bills,4/30/23,4.739
154,Treasury Notes,4/30/23,1.865
155,Treasury Bonds,4/30/23,3.025
170,Treasury Bills,3/31/23,4.634
171,Treasury Notes,3/31/23,1.844
172,Treasury Bonds,3/31/23,3.022
187,Treasury Bills,2/28/23,4.475
188,Treasury Notes,2/28/23,1.803
189,Treasury Bonds,2/28/23,3.015
204,Treasury Bills,1/31/23,4.242
205,Treasury Notes,1/31/23,1.753
206,Treasury Bonds,1/31/23,3.022
221,Treasury Bills,12/31/22,3.891
222,Treasury Notes,12/31/22,1.697
223,Treasury Bonds,12/31/22,3.014
238,Treasury Bills,11/30/22,3.456
239,Treasury Notes,11/30/22,1.68
240,Treasury Bonds,11/30/22,3.012
255,Treasury Bills,10/31/22,2.924
256,Treasury Notes,10/31/22,1.631
257,Treasury Bonds,10/31/22,3.009
272,Treasury Bills,9/30/22,2.453
273,Treasury Notes,9/30/22,1.59
